index,Date,Gold
1009,2020-10-06,65
1010,2020-10-07,63
1011,2020-10-08,63
1012,2020-10-09,62
1013,2020-10-10,65
1014,2020-10-11,61
1015,2020-10-12,63
1016,2020-10-13,63
1017,2020-10-14,62
1018,2020-10-15,62
1019,2020-10-16,66
1020,2020-10-17,68
1021,2020-10-18,65
1022,2020-10-19,63
1023,2020-10-20,61
1024,2020-10-21,60
1025,2020-10-22,61
1026,2020-10-23,61
1027,2020-10-24,63
1028,2020-10-25,65
1029,2020-10-26,63
1030,2020-10-27,64
1031,2020-10-28,63
1032,2020-10-29,62
1033,2020-10-30,61
1034,2020-10-31,62
1035,2020-11-01,59
1036,2020-11-02,63
1037,2020-11-03,61
1038,2020-11-04,50
1039,2020-11-05,56
1040,2020-11-06,56
1041,2020-11-07,66
1042,2020-11-08,64
1043,2020-11-09,70
1044,2020-11-10,74
1045,2020-11-11,71
1046,2020-11-12,74
1047,2020-11-13,76
1048,2020-11-14,66
1049,2020-11-15,65
1050,2020-11-16,65
1051,2020-11-17,63
1052,2020-11-18,63
1053,2020-11-19,65
1054,2020-11-20,65
1055,2020-11-21,65
1056,2020-11-22,64
1057,2020-11-23,62
1058,2020-11-24,72
1059,2020-11-25,72
1060,2020-11-26,71
1061,2020-11-27,77
1062,2020-11-28,79
1063,2020-11-29,76
1064,2020-11-30,80
1065,2020-12-01,79
1066,2020-12-02,76
1067,2020-12-03,74
1068,2020-12-04,77
1069,2020-12-05,73
1070,2020-12-06,70
1071,2020-12-07,71
1072,2020-12-08,66
1073,2020-12-09,67
1074,2020-12-10,69
1075,2020-12-11,69
1076,2020-12-12,74
1077,2020-12-13,66
1078,2020-12-14,66
1079,2020-12-15,65
1080,2020-12-16,67
1081,2020-12-17,65
1082,2020-12-18,66
1083,2020-12-19,65
1084,2020-12-20,62
1085,2020-12-21,64
1086,2020-12-22,69
1087,2020-12-23,65
1088,2020-12-24,67
1089,2020-12-25,68
1090,2020-12-26,69
1091,2020-12-27,64
1092,2020-12-28,69
1093,2020-12-29,69
1094,2020-12-30,67
1095,2020-12-31,67
1096,2021-01-01,61
1097,2021-01-02,71
1098,2021-01-03,67
1099,2021-01-04,66
1100,2021-01-05,65
1101,2021-01-06,67
1102,2021-01-07,69
1103,2021-01-08,67
1104,2021-01-09,72
1105,2021-01-10,70
1106,2021-01-11,70
1107,2021-01-12,72
1108,2021-01-13,63
1109,2021-01-14,63
1110,2021-01-15,66
1111,2021-01-16,71
1112,2021-01-17,67
1113,2021-01-18,65
1114,2021-01-19,65
1115,2021-01-20,65
1116,2021-01-21,63
1117,2021-01-22,64
1118,2021-01-23,69
1119,2021-01-24,63
1120,2021-01-25,64
1121,2021-01-26,61
1122,2021-01-27,62
1123,2021-01-28,64
1124,2021-01-29,67
1125,2021-01-30,67
